,name,cost
0,Haley1 (Captain Victoria Haley),27
1,Stryker1 (Commander Coleman Stryker),30
2,Caine1 (Lieutenant Allister Caine),30
3,Nemo1 (Commander Adept Nemo),30
4,Brisbane1 (Major Markus 'Siege' Brisbane),28
5,Kraye1 (Captain Jeremiah Kraye),30
6,Darius1 (Captain E. Dominic Darius & Halfjacks),29
7,Kara Sloan1 (Captain Kara Sloan),28
8,Blaize1 (Constance Blaize Knight of the Prophet),30
9,Sturgis1 (Commander Dalin Sturgis),30
10,Maddox1 (Major Beth Maddox),30
11,Haley2 (Major Victoria Haley),25
12,Stryker2 (Lord Commander Stryker),28
13,Caine2 (Captain Allister Caine),27
14,Nemo2 (General Adept Nemo),26
15,Haley3 (Major Prime Victoria Haley),25
16,Stryker3 (Lord General Coleman Stryker),28
17,Nemo3 (Artificer General Nemo & Storm Chaser Adept Finch),25
18,Jakes2 (Captain Allison Jakes),28
19,Hurricane,39
20,Sentinel,8
21,Avenger,17
22,Dynamo,18
23,Defender,16
24,Centurion,17
25,Minuteman,9
26,Reliant,14
27,Ol' Rowdy,18
28,Ace,12
29,Stormclad,18
30,Hunter,11
31,Lancer,10
32,Triumph,20
33,Thorn,13
34,Stormwall (Stormwall & Lightning Pod),39
35,Firefly,8
36,Ironclad,12
37,Thunderhead,20
38,Charger,9
39,Gallant,17
40,Cyclone,13
41,Grenadier,9
42,Hammersmith,12
43,Storm Strider,18
44,Arcane Tempest Gun Mage Pistoleers,11
45,Long Gunner Infantry,11
46,Field Mechaniks,3
47,Stormblade Infantry,10
48,Trencher Infantry,10
49,Trencher Chaingun Crew,5
50,Trencher Cannon Crew,6
51,Sword Knights,8
52,Stormguard,9
53,Storm Lances,12
54,Black 13th Gun Mage Strike Team,10
55,Precursor Knights,9
56,Rangers,9
57,Trencher Commandos,10
58,Stormsmith Storm Tower,4
59,Tempest Blazers,11
60,Stormsmith Grenadiers,7
61,Silver Line Stormguard,10
62,Jonas Murdoch(Captain Jonas Murdoch),4
63,Long Gunner Infantry Officer & Standard,4
64,Precursor Knight Officer & Standard,4
65,Sword Knight Officer & Standard,4
66,Arcane Tempest Gun Mage Officer,4
67,Stormblade Infantry Officer & Standard,5
68,Trencher Infantry Officer & Sniper,5
69,Trencher Commandos Scattergunner,2
70,Stormblade Infantry Storm Gunner,2
71,Trencher Infantry Grenadier,2
72,Lieutenant Allison Jakes,4
73,Journeyman Warcaster,4
74,Gun Mage Captain Adept,5
75,3 Stormsmith Stormcallers,5
76,Captain Maxwell Finn,6
77,Major Katherine Laddermore,8
78,Squire,5
79,Captain Arlan Strangewayes,4
80,Trencher Master Gunner,4
81,Archduke Alain Runewood,4
82,Stormblade Captain,5
83,Trench Buster,6
84,Arcane Tempest Rifleman,4
